epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
82,307.194,0.4464,0.35548,1.1147,0.02084,0.99486,0.98333,0.99437,0.93113,0.39786,0.32555,1.36211,0.03024,0.0003962,0.0003962,0.0003962
83,310.764,0.43614,0.35023,1.11213,0.0233,0.99518,0.98333,0.99468,0.92071,0.39263,0.32706,1.39711,0.03028,0.0003764,0.0003764,0.0003764
84,314.458,0.43654,0.35641,1.09486,0.02558,0.98358,0.99858,0.99484,0.93452,0.39342,0.33167,1.37869,0.03237,0.0003566,0.0003566,0.0003566
85,317.979,0.40735,0.32773,1.08295,0.01884,0.99672,0.98333,0.99468,0.92931,0.38988,0.31549,1.40166,0.02939,0.0003368,0.0003368,0.0003368
86,321.539,0.42064,0.33056,1.07523,0.0201,0.96769,0.99846,0.99434,0.92506,0.39168,0.31217,1.40444,0.01793,0.000317,0.000317,0.000317
87,325.814,0.42013,0.33063,1.07819,0.0175,0.99515,0.96667,0.98434,0.92233,0.39599,0.31403,1.36979,0.01638,0.0002972,0.0002972,0.0002972
88,329.335,0.41438,0.33644,1.07957,0.02148,1,0.9793,0.985,0.92615,0.39227,0.31113,1.34843,0.0209,0.0002774,0.0002774,0.0002774
89,332.938,0.42117,0.33662,1.07092,0.01591,0.99916,0.98333,0.985,0.92748,0.39331,0.31326,1.34425,0.02595,0.0002576,0.0002576,0.0002576
90,336.701,0.40131,0.3261,1.03413,0.01395,0.99991,0.98333,0.985,0.92452,0.384,0.30739,1.32732,0.02875,0.0002378,0.0002378,0.0002378
91,341.998,0.27889,0.26489,1.04429,0.01001,0.9991,0.98333,0.99468,0.93061,0.39014,0.32373,1.30485,0.0272,0.000218,0.000218,0.000218
92,345.842,0.27714,0.26177,1.06157,0.01141,1,0.98204,0.985,0.91831,0.38667,0.31428,1.33429,0.03548,0.0001982,0.0001982,0.0001982
93,349.599,0.27347,0.2548,1.06343,0.01168,1,0.9818,0.985,0.92111,0.3824,0.30492,1.34509,0.03446,0.0001784,0.0001784,0.0001784
94,352.996,0.25561,0.25148,0.99676,0.00952,0.9986,0.98333,0.99437,0.92664,0.37986,0.3118,1.32439,0.02448,0.0001586,0.0001586,0.0001586
95,357.247,0.26118,0.24902,1.04398,0.00929,0.9975,0.98333,0.99437,0.92917,0.39023,0.30659,1.33751,0.03119,0.0001388,0.0001388,0.0001388
96,360.727,0.27389,0.25242,1.04135,0.00871,0.9969,0.98333,0.99437,0.9301,0.38812,0.30402,1.3322,0.02395,0.000119,0.000119,0.000119
97,364.274,0.25647,0.24509,1.02304,0.01104,0.99661,0.98333,0.99437,0.93248,0.38675,0.30852,1.33599,0.03007,9.92e-05,9.92e-05,9.92e-05
98,367.806,0.24015,0.23601,1.00373,0.00522,0.99656,0.98333,0.99437,0.92585,0.38019,0.30255,1.36239,0.02491,7.94e-05,7.94e-05,7.94e-05
